Nodes,Type
miR-93-5p,2
miR-363-3p,2
miR-182-5p,2
miR-153-3p,2
miR-433-3p,2
miR-652-3p,2
miR-485-5p,1
MAP3K2,0
MAN2A1,0
ZNFX1,0
PLEKHA3,0
BRMS1L,0
ARHGAP12,0
ZNF800,0
G3BP2,0
ENPP5,0
FRS2,0
RASA1,0
SLC12A5,0
DYNC1LI2,0
LHFPL2,0
ITPRIPL2,0
GPR137C,0
EPHA4,0
RGS17,0
RAB22A,0
PKD2,0
ARID4B,0
PRKACB,0
GALNT7,0
FNIP1,0
BNC2,0
MAP2K4,0
SERTAD2,0
MKRN1,0
ZBTB7A,0
CD2AP,0
PFN2,0
MYO1B,0
VAMP3,0
RAB23,0
CHIC1,0
TGFBR2,0
YWHAG,0
KTN1,0
CAMSAP2,0
FBXL5,0
PCNX1,0
E2F1,0
MITF,0
ZFYVE26,0
FCHO2,0
RRAGD,0
KIF23,0
HIPK3,0
CROT,0
MYT1L,0
CD69,0
FGD4,0
VLDLR,0
PRRG1,0
MFAP3,0
MED12L,0
RIC1,0
RSBN1,0
FYCO1,0
NABP1,0
TNFRSF21,0
RGMA,0
BCL11B,0
MASTL,0
CFL2,0
PBX3,0
DERL2,0
NFIB,0
SERP1,0
NPAS2,0
MORC3,0
RBL2,0
SPOPL,0
FOXF2,0
SLC40A1,0
ARID4A,0
ATAD2,0
FBXW7,0
ARF4,0
DDHD1,0
SAR1B,0
PFKP,0
ACTR2,0
PALLD,0
CTTN,0
USP3,0
ZBTB4,0
LPP,0
RUFY2,0
ANKIB1,0
KLHL14,0
NUAK1,0
ANKRD52,0
BTBD7,0
RBM47,0
GLIS3,0
RASL11B,0
RPS6KA5,0
POLR3G,0
HBP1,0
CDC37L1,0
CLIP4,0
NCALD,0
GRAMD2B,0
FAM168B,0
DCAF6,0
RNF128,0
GPR180,0
TEAD1,0
TNKS2,0
PTHLH,0
RNF141,0
GPR6,0
TSG101,0
NFE2L2,0
FMR1,0
CORO1C,0
IGF1R,0
DUSP10,0
TRAPPC14,0
STAT3,0
APCDD1,0
RNF38,0
USP28,0
LAMA3,0
CBFB,0
E2F5,0
ATG16L1,0
SNX30,0
EZH1,0
REV3L,0
SLITRK3,0
RAPGEF5,0
RAB10,0
LAPTM4A,0
CLCN5,0
SACS,0
ZNF512B,0
FRMD6,0
PRR15,0
UGP2,0
F3,0
ETV1,0
FJX1,0
RHOC,0
LIMA1,0
RARG,0
NR4A2,0
CNOT7,0
PCOLCE2,0
PPP6C,0
CUL5,0
EPAS1,0
PIKFYVE,0
UBE2W,0
BMT2,0
BAMBI,0
JAZF1,0
NPTX1,0
FNBP1L,0
EFCAB14,0
NFATC3,0
PLCB1,0
CAPRIN2,0
SP3,0
ITGAV,0
SLC4A4,0
BTBD10,0
STK17B,0
ZBTB18,0
ITPRID2,0
CLPTM1L,0
DCUN1D3,0
ZFC3H1,0
RGMB,0
PCDH8,0
EFR3A,0
ZNF367,0
ADGRL2,0
SLC39A9,0
CIC,0
REEP3,0
FBXW11,0
FAM135A,0
APC,0
SLC25A32,0
YIPF2,0
TWF1,0
FOXO3,0
DPYSL5,0
ARMC1,0
TXNIP,0
RSRP1,0
MED1,0
KDSR,0
TMEM64,0
NEDD4L,0
AEBP2,0
SGK3,0
VASH2,0
CLDN11,0
ZNF704,0
FERMT2,0
FNDC3A,0
ARAP2,0
DDIT4,0
BOD1L1,0
OSBPL6,0
NPAT,0
NPTN,0
GFPT2,0
DUS2,0
SLC17A7,0
ADAM19,0
BCAT2,0
DUSP2,0
HECTD2,0
EMSY,0
TMCC1,0
ZC3H15,0
MINK1,0
DENND10,0
ADD3,0
FAM171A1,0
TENT4A,0
ZFAND4,0
CHD9,0
C21orf91,0
ABHD13,0
NAA30,0
ANKRD50,0
CHMP2B,0
NTN4,0
GXYLT1,0
BCL2L11,0
MFAP3L,0
KLHL2,0
ELMO1,0
ERGIC2,0
NUP35,0
FLOT1,0
INTS6,0
CEP97,0
PAIP2,0
TULP4,0
CDKN1A,0
SLC46A3,0
KLF2,0
EGLN3,0
MIA3,0
PTCH1,0
CALD1,0
NR4A3,0
OXSR1,0
FZD3,0
OSTM1,0
RRM2,0
KLHL28,0
CMPK1,0
SATB1,0
TANC1,0
EBF3,0
BTG3,0
KLHL3,0
RAI14,0
PEX5L,0
YPEL2,0
QKI,0
VSX1,0
HIF1A,0
TRIP10,0
NBEA,0
SLC17A6,0
PKIA,0
PTPN4,0
ADAM9,0
JPT1,0
DCUN1D1,0
EIF5A2,0
TBC1D9,0
FOXN2,0
PKDCC,0
TBC1D20,0
ADAM10,0
KAT2B,0
ARHGEF3,0
CPEB4,0
OXR1,0
CEP57,0
MTF1,0
TRIM36,0
NAGK,0
MOB1B,0
KIAA1217,0
DPYSL2,0
PPP3R1,0
FGD5,0
KIAA1109,0
RBBP7,0
ROCK1,0
SMAD1,0
BSDC1,0
CCNG2,0
PIK3R3,0
SLC22A23,0
CREBRF,0
DENR,0
RAP1B,0
FAM126B,0
PTPDC1,0
MRTFB,0
ZEB2,0
SOBP,0
CBLN4,0
GLCCI1,0
RECK,0
WASL,0
TGIF1,0
CLOCK,0
PPIL1,0
TMF1,0
CPEB2,0
OSBPL10,0
CNEP1R1,0
ACTC1,0
FNDC3B,0
DPY30,0
DOCK9,0
PTPRG,0
NOVA1,0
APPL1,0
RTN4,0
CD47,0
KLF13,0
MET,0
TOB1,0
THBS1,0
FBXL3,0
ADCY6,0
SNX13,0
TAOK1,0
PTAR1,0
NRN1,0
PAFAH1B1,0
PHLPP2,0
SETD7,0
AUTS2,0
PCMTD1,0
RAB6B,0
CACNB4,0
APP,0
ACOX1,0
PC,0
TBC1D19,0
MBNL2,0
SUN2,0
SOX4,0
TACC2,0
MTSS1,0
KCTD6,0
ADO,0
SPHK2,0
CDC27,0
SLC1A2,0
TTC28,0
USP6NL,0
MECOM,0
GNAI3,0
CADM2,0
TSNAX,0
MYCBP2,0
PCMT1,0
UNC5C,0
SMARCD2,0
PEAK1,0
NFIA,0
DSTYK,0
