miRNA_names,ΔCʀт.Mean,P.Value,log2FC
miR-486-5p,5.15799999237061,0.00700000021606684,-5.15842931807326
miR-92a-3p,4.75899982452393,0.00700000021606684,-4.75633090044042
miR-100-3p,9.18000030517578,0.00800000037997961,-8.96578421613775
ath-miR159a,-3.94700002670288,0.00999999977648258,3.94682437284329
miR-652-3p,3.59800004959106,0.00999999977648258,-3.59074490822529
miR-122-5p,5.65500020980835,0.0109999999403954,-5.64385622202147
miR-744-5p,3.28800010681152,0.0140000004321337,-3.29335896966827
miR-1293,-3.46700000762939,0.0149999996647239,3.46727953519587
miR-941,3.07699990272522,0.0149999996647239,-3.0709664881138
miR-130b-5p,3.2960000038147,0.0160000007599592,-3.29335896966827
miR-138-1-3p,-3.18700003623962,0.0160000007599592,3.18681745089585
miR-146a-3p,-2.88199996948242,0.017000000923872,2.88166459691826
miR-126-3p,3.78699994087219,0.0179999992251396,-3.79585934532462
miR-221-3p,3.84599995613098,0.0179999992251396,-3.83650126157488
miR-645,-2.45099997520447,0.0179999992251396,2.45074937755083
miR-145-5p,2.99300003051758,0.0189999993890524,-2.98850433795816
miR-513c-5p,-2.02999997138977,0.0189999993890524,2.0296296322619
miR-141-3p,-2.47099995613098,0.0199999995529652,2.47066706521099
miR-153-3p,3.42600011825562,0.0199999995529652,-3.42662543934245
miR-485-5p,-3.84200000762939,0.0199999995529652,3.84197313427849
miR-548a-3p,-2.04299998283386,0.0199999995529652,2.04334458098011
miR-1284,-3.34999990463257,0.0209999997168779,3.34964838779503
miR-130a-5p,-2.1010000705719,0.0209999997168779,2.10131386389219
miR-93-5p,3.16100001335144,0.0230000000447035,-3.15842931807327
miR-99a-5p,3.15000009536743,0.0230000000447035,-3.14560534735941
miR-1249-3p,2.65000009536743,0.0240000002086163,-2.65290138021538
miR-1282,-3.23900008201599,0.0240000002086163,3.23848112949043
miR-1324,-2.29699993133545,0.0240000002086163,2.29719140536861
miR-488-3p,-2.41100001335144,0.0240000002086163,2.41142629227816
miR-338-5p,-3.95000004768372,0.025000000372529,3.95037505903585
miR-375,-2.14199995994568,0.025000000372529,2.14208664083887
miR-583,-2.48600006103516,0.025000000372529,2.48645697933809
miR-331-3p,2.0460000038147,0.0260000005364418,-2.04692105520488
miR-433-3p,3.12400007247925,0.0260000005364418,-3.12029420754643
miR-106b-3p,2.87299990653992,0.0270000007003546,-2.86775225944756
miR-152-3p,3.64400005340576,0.0270000007003546,-3.64385622202147
miR-329-3p,-4.10900020599365,0.0270000007003546,4.10919332916742
miR-708-5p,-1.95899999141693,0.0280000008642674,1.95865713882601
miR-30e-5p,-4.67500019073486,0.028999999165535,4.674686671644
miR-223-3p,3.47499990463257,0.0299999993294477,-3.47393113100486
miR-9-3p,-1.91100001335144,0.0299999993294477,1.911499881045
miR-191-5p,2.99399995803833,0.0309999994933605,-2.98850433795816
miR-509-3-5p,-2.10599994659424,0.0309999994933605,2.10567804464882
miR-128-3p,2.92499995231628,0.0320000015199184,-2.92139017312103
miR-452-3p,-2.40000009536743,0.034000001847744,2.39999131729733
miR-2110,2.62100005149841,0.0350000001490116,-2.61705610827374
miR-130a-3p,3.08899998664856,0.0359999984502792,-3.08314122655536
miR-215-5p,3.55699992179871,0.0359999984502792,-3.55639333334945
miR-144-3p,2.76200008392334,0.0370000004768372,-2.76611194099567
miR-636,3.1470000743866,0.0370000004768372,-3.14560534735941
miR-1303,-2.69300007820129,0.0390000008046627,2.6930966120878
miR-423-5p,3.08599996566772,0.0390000008046627,-3.08314122655536
miR-101-3p,3.49699997901916,0.0399999991059303,-3.49005082857463
miR-125b-5p,2.65000009536743,0.0410000011324883,-2.65290138021538
miR-182-5p,2.95000004768372,0.0410000011324883,-2.95455710523116
miR-93-3p,2.25699996948242,0.0410000011324883,-2.25842510896838
miR-15a-3p,3.30699992179871,0.0430000014603138,-3.30757275167774
miR-34b-3p,-1.82000005245209,0.0430000014603138,1.8200767797944
miR-324-3p,1.7960000038147,0.0439999997615814,-1.79585934532462
miR-363-3p,3.0090000629425,0.0439999997615814,-3.01158799785348
miR-302b-3p,-1.31299996376038,0.0450000017881393,1.31266515472615
miR-135b-3p,-2.20700001716614,0.0469999983906746,2.20726818264593
miR-210-3p,2.61299991607666,0.0469999983906746,-2.61705610827374
miR-873-5p,-1.62199997901917,0.0480000004172325,1.6215243980628
miR-132-5p,-2.21199989318848,0.0500000007450581,2.21163524382206
miR-524-3p,2.54200005531311,0.0500000007450581,-2.53951948096493
miR-200c-3p,-1.37000000476837,0.0509999990463257,1.37016430183013
miR-148b-5p,-2.06599998474121,0.0520000010728836,2.06557226689292
miR-561-3p,-2.73000001907349,0.0520000010728836,2.72966150347321
miR-138-5p,-2.06800007820129,0.0529999993741512,2.06798277505798
miR-451a,3.19099998474121,0.0529999993741512,-3.19759999459725
miR-625-3p,2.64100003242493,0.0529999993741512,-2.64385622202147
miR-769-3p,3.65799999237061,0.0529999993741512,-3.66200347008662
miR-135a-5p,-2.21799993515015,0.0549999997019768,2.21847115043478
miR-145-3p,-2.67499995231628,0.0549999997019768,2.67536431533373
miR-139-5p,-2.32999992370605,0.0570000000298023,2.32969767480118
miR-148a-3p,2.80900001525879,0.0570000000298023,-2.80591288053385
miR-548h-5p,-2.63599991798401,0.0579999983310699,2.63621858064581
miR-302a-3p,-4.07499980926514,0.0599999986588955,4.07519039120867
miR-370-3p,-1.51800000667572,0.0599999986588955,1.51803153391644
miR-17-5p,2.5699999332428,0.0610000006854534,-2.57346688133374
miR-663b,2.9539999961853,0.0610000006854534,-2.95455710523116
miR-548p,-1.39499998092651,0.0619999989867211,1.39451411369559
miR-181b-5p,2.33400011062622,0.0640000030398369,-2.33642767239987
miR-1180-3p,2.25500011444092,0.0649999976158142,-2.25842510896838
miR-140-3p,2.43300008773804,0.0649999976158142,-2.43440280555305
miR-409-3p,2.52800011634827,0.0659999996423721,-2.53115611567841
miR-425-5p,2.47199988365173,0.0670000016689301,-2.47393113100487
miR-1296-5p,2.38199996948242,0.0689999982714653,-2.38082177140053
miR-576-5p,2.87400007247925,0.0689999982714653,-2.87832136500789
miR-1270,-2.77699995040894,0.0719999969005585,2.77694621112798
miR-376a-5p,-1.53699994087219,0.0719999969005585,1.53655030691842
miR-376b-3p,-1.50899994373322,0.0719999969005585,1.5089356396263
miR-885-5p,-1.36099994182587,0.0719999969005585,1.36120689345211
miR-29b-3p,3.28500008583069,0.0729999989271164,-3.27928375580914
miR-377-5p,-1.41600000858307,0.0729999989271164,1.41575865724007
miR-500a-3p,2.58200001716614,0.0729999989271164,-2.58208002926214
miR-576-3p,-1.5,0.0729999989271164,1.49978215517631
let-7f-2-3p,2.84500002861023,0.0740000009536743,-2.846843226786
miR-150-5p,3.05100011825562,0.0740000009536743,-3.04692105520488
miR-363-5p,-1.46800005435944,0.0740000009536743,1.46780117340066
miR-411-3p,-1.317999958992,0.0740000009536743,1.31788290048989
miR-548i,-1.48500001430511,0.0740000009536743,1.48439601265915
miR-339-5p,2.44199991226196,0.0750000029802322,-2.44222232580101
miR-376c-3p,-1.40900003910065,0.0750000029802322,1.40871184548297
miR-487a-3p,-3.20700001716614,0.0750000029802322,3.20679945565181
miR-518e-3p,-1.71200001239777,0.0750000029802322,1.71149494866112
miR-195-5p,2.51300001144409,0.0769999995827675,-2.51457319739871
miR-526b-5p,-1.49899995326996,0.0769999995827675,1.49927183352712
miR-199a-3p,2.39400005340576,0.0780000016093254,-2.39592869443458
miR-520d-5p,-1.70899999141693,0.0780000016093254,1.7084079338044
miR-660-5p,2.2960000038147,0.0780000016093254,-2.29335896966826
miR-24-3p,2.47399997711182,0.0790000036358833,-2.47393113100487
miR-296-5p,2.31500005722046,0.0790000036358833,-2.31473255754649
miR-367-5p,-1.25600004196167,0.0790000036358833,1.25580284351659
miR-551a,-1.52400004863739,0.0790000036358833,1.52356195605701
miR-1272,-1.63300001621246,0.0799999982118607,1.63273355878308
miR-19a-3p,1.69099998474121,0.0799999982118607,-1.68965986829219
miR-22-3p,2.59200000762939,0.0799999982118607,-2.59074490822528
