HBA1c	Creatinine	CHOLESTROLE	LDL	HDL
miR-106b-3p	0.161	-0.436	-0.0776	0.001	-0.182
miR-130a-3p	-0.0913	-0.161	-0.309	-0.351	0.0669
miR-130b-5p	-0.111	-0.026	-0.388	-0.28	-0.0154
miR-153-3p	-0.372	0.219	-0.115	-0.152	0.168
miR-182-5p	-0.327	-0.0811	-0.225	-0.229	0.0626
miR-331-3p	0.484	-0.0371	0.0247	0.0653	-0.197
miR-363-3p	0.0575	-0.0793	-0.338	-0.268	-0.064
miR-433-3p	-0.395	0.0775	-0.13	-0.113	-0.0304
miR-452-3p	0.456	-0.059	0.0267	0.0224	-0.183
miR-485-5p	0.555	0.0405	0.221	0.152	-0.0822
miR-636	-0.282	-0.103	-0.393	-0.337	-0.0614
miR-652-3p	0.0627	-0.383	-0.00376	0.0976	-0.342
miR-93-5p	-0.0617	-0.437	-0.033	0.0828	-0.231
