HBA1c	Creatinine	CHOLESTROLE	LDL	HDL
miR-106b-3p	0.355	0.00883	0.658	0.995	0.296
miR-130a-3p	0.602	0.357	0.0707	0.0389	0.702
miR-130b-5p	0.518	0.88	0.0193	0.0984	0.929
miR-153-3p	0.0302	0.213	0.519	0.39	0.343
miR-182-5p	0.0481	0.633	0.181	0.173	0.713
miR-331-3p	0.00433	0.837	0.892	0.718	0.271
miR-363-3p	0.739	0.646	0.0439	0.114	0.711
miR-433-3p	0.0306	0.684	0.495	0.554	0.873
miR-452-3p	0.00677	0.74	0.881	0.9	0.299
miR-485-5p	0.00176	0.835	0.25	0.431	0.672
miR-636	0.124	0.583	0.0289	0.0634	0.743
miR-652-3p	0.725	0.0256	0.983	0.583	0.0475
miR-93-5p	0.725	0.00873	0.851	0.636	0.181
